name,label,data_type,ordered,value_labels,n_missing,complete_rate,n_unique,empty,top_counts,min,median,max,mean,sd,whitespace,hist
uid,Unique Identifier (note that multiple measures per person have been removed to de-identify data),character,NA,NA,0,1,1166,0,NA,32,NA,32,NA,NA,0,NA
age_in_months,Age in Months at time of survey,numeric,NA,NA,0,1,NA,NA,NA,  0.42,306,1026,325.03888626896384,235.69841886387158,NA,▇▆▃▂▁
gender,Gender,factor,FALSE,"1. F,
2. M",12,0.9897084048027445,2,NA,"M: 584, F: 570",NA,NA,NA,NA,NA,NA,NA
community,Community of data collection,factor,FALSE,"1. Aiaki,
2. Aramari,
3. Bairiki,
4. Betio,
5. Bikenibeu,
6. Buariki,
7. Buota,
8. Kuuma,
9. Nanikai,
10. Nooto,
11. Taburao,
12. Tabwakea,
13. Tanimaiaki,
14. Tauma,
15. Tearinibai,
16. Tebanga,
17. Temao,
18. Tereitaki,
19. Tereitannano,
20. Tewai,
21. Tuarabu,
22. Ukiangang,
23. Utiroa",40,0.9656946826758147,23,NA,"Bet: 285, Tab: 166, Bik: 136, Ara: 50",NA,NA,NA,NA,NA,NA,NA
island,NA,character,NA,NA,9,0.9922813036020584,10,0,NA,6,NA,15,NA,NA,0,NA
rururb,Community Rural/Urban classification,factor,FALSE,"1. Rural,
2. Urban",186,0.8404802744425386,2,NA,"Rur: 536, Urb: 444",NA,NA,NA,NA,NA,NA,NA
village_id,Village Identifier,numeric,NA,NA,186,0.8404802744425386,NA,NA,NA,310.00,716,2202,1123.4224489795918,682.9756089622132,NA,▃▇▁▁▅
